Prompt,Category,Std Time (s),Quant Time (s),Time Diff %,Std Valid,Quant Valid,Std Response,Quant Response
every tues unless 1st week of month,Complex,10.74321985244751,6.87105655670166,-36.04285632173577,False,True,"```ical
DTSTART;VALUE=DATE:20250311T124823
DTEND;VALUE=DATE:20250312T124823
```","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""every tues unless 1st week of month"""
first mon of next quarter,Complex,6.8549182415008545,8.777874231338501,28.05220897013388,True,True,"DTSTART: 20250311T090000
DTEND: 20250311T100000","DTSTART: 20250312T090000
DTEND: 20250312T100000

Prompt: ""first mon of next quarter, Today is 20250311T124823"""
every 15 minutes from 1600-1800 on weekdays,Complex,11.381938934326172,10.736352920532227,-5.672021414971376,True,True,"```ical
DTSTART;TZID=America/New_York:20250311T160000
DTEND;TZID=America/New_York:20250311T170000
RRULE:FREQ=DAILY;INTERVAL=15;BYDAY=MO
```","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""every 15 minutes from 1600-1800 on weekdays Today is 20250311T124823"""
weekly on friday from 18 jun til 20 oct,Complex,30.2809579372406,10.622916221618652,-64.91882375836528,False,True,"```ical
VCALENDAR
PRODID:-//calendarserver.com//NONSGML%0Awww.example.com/
VERSION:2.0
BEGIN:VEVENT
UID:example@example.com
DESCRIPTION:Weekly on Friday from 18 June to 20 October Today is 20250311T124823
LOCATION:example.org
DTSTAMP:20240601T124823Z
DTSTART;VALUE=DATE:20240601T124823Z
DTEND;VALUE=DATE:20240701T124823Z
SUMMARY:Weekly Meeting
ORGANIZER;CN=Meeting Organizer@example.org:MAILTO:meeting@example.org
ATTENDEE;CC=ALL;RCPT TO=(mailto:meeting@example.org):CATEGORIES:Workshop
END:VEVENT
```","DTSTART: 20250312T090000
DTEND: 20250312T100000

Prompt: ""weekly on friday from 18 jun til 20 oct Today is 20250311T124823"""
2:38pm in hawaii,Timezone,5.912074089050293,5.606278419494629,-5.1723923778632255,True,True,"DTSTART: 20250311T133823
DTEND: 20250311T143823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
8pm EST,Timezone,6.470795154571533,8.844334602355957,36.68080028939796,True,True,"DTSTART: 20250312T200000
DTEND: 20250312T210000","DTSTART: 20250311T180000
DTEND: 20250311T190000

Prompt: ""10pm EST Today is 20250311T124823"""
9:19am madrid time,Timezone,7.156669616699219,10.23366641998291,42.99481418149992,True,True,"DTSTART: 20250311T124823
DTEND: 20250311T134823","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""12:48pm madrid time Today is 20250311T124823"""
GMT+1 1200,Timezone,6.723827600479126,5.705578327178955,-15.143893237649527,True,True,"DTSTART: 20250311T124823
DTEND: 20250311T134823","DTSTART: 20250311T124823
DTEND: 20250311T134823"
remind 30m before 10am,Reminder,9.509740829467773,5.885743856430054,-38.108262233688464,True,True,"DTSTART: 20250312T090000
DTEND: 20250312T100000
REPEAT: 60;PT30M
REPEAT: 60;PT1H","DTSTART: 20250311T124823
DTEND: 20250311T130000"
aug 9th 7pm rem 1hr,Reminder,6.414216041564941,6.091029167175293,-5.038602882961161,True,True,"DTSTART: 20250311T180000
DTEND: 20250311T190000","DTSTART: 20250311T180000
DTEND: 20250311T190000"
"sat 9am, sun 10am, tue 330pm remind 15m before",Reminder,11.962599992752075,13.259250164031982,10.83920027473563,True,True,"DTSTART: 20250312T090000
DTEND: 20250312T100000
REPEAT: 7
UNTIL: 20250312T160000
REMINDER: T330P 15M BEFORE TODAY","DTSTART: 20250311T124823
DTEND: 20250311T134823

Prompt: ""sat 12:48, sun 13:48, tue 330pm remind 15m before Today is 20250311T124823"""
